#      WAVE        LUMINOSITY
       3808.0872       1.8068310
       3808.9642       1.7609985
       3809.8413       1.7735467
       3810.7187       1.7937986
       3811.5962       1.8735047
       3812.4740       1.8919177
       3813.3519       1.7817512
       3814.2301       1.6995323
       3815.1084       1.7044362
       3815.9870       1.7397978
       3816.8658       1.7069067
       3817.7447       1.7397690
       3818.6239       1.7515339
       3819.5033       1.6851525
       3820.3828       1.6570692
       3821.2626       1.6511869
       3822.1426       1.6723413
       3823.0228       1.6506123
       3823.9032       1.6446399
       3824.7838       1.6022081
       3825.6645       1.5156316
       3826.5455       1.4897304
       3827.4267       1.4698378
       3828.3081       1.4252440
       3829.1897       1.4325950
       3830.0715       1.4128737
       3830.9536       1.3555197
       3831.8358       1.3184608
       3832.7182       1.2622256
       3833.6008       1.2493565
       3834.4836       1.2084970
       3835.3666       1.1420196
       3836.2499       1.1822174
       3837.1333       1.2167092
       3838.0169       1.1734148
       3838.9008       1.1997835
       3839.7848       1.2434993
       3840.6691       1.3605091
       3841.5535       1.4501036
       3842.4382       1.5128769
       3843.3230       1.6454145
       3844.2081       1.6612250
       3845.0933       1.7109227
       3845.9788       1.8017599
       3846.8645       1.7595414
       3847.7504       1.7781760
       3848.6364       1.8153329
       3849.5227       1.8570122
       3850.4092       1.8811213
       3851.2959       1.8263692
       3852.1828       1.9247173
       3853.0699       1.9686882
       3853.9572       1.8921017
       3854.8447       1.9033374
       3855.7324       1.9216855
       3856.6203       1.8912087
       3857.5085       1.8754821
       3858.3968       1.8679628
       3859.2853       1.7920709
       3860.1740       1.8103483
       3861.0630       1.7876784
       3861.9521       1.8197480
       3862.8415       1.9567089
       3863.7310       2.0149903
       3864.6208       1.9603084
       3865.5108       1.9604863
       3866.4009       2.0079019
       3867.2913       2.0562393
       3868.1819       2.0968911
       3869.0727       2.1210990
       3869.9637       2.1257205
       3870.8549       2.0390048
       3871.7463       1.9439928
       3872.6379       1.8574767
       3873.5297       1.8878680
       3874.4217       1.8195810
       3875.3139       1.8370339
       3876.2063       1.9357116
       3877.0990       1.9240162
       3877.9918       1.8189231
       3878.8848       1.6964669
       3879.7781       1.7024234
       3880.6715       1.7278785
       3881.5652       1.7098386
       3882.4591       1.6576135
       3883.3531       1.5248250
       3884.2474       1.4707817
       3885.1419       1.4786336
       3886.0366       1.3541063
       3886.9315       1.3116816
       3887.8266       1.3618276
       3888.7219       1.4157960
       3889.6174       1.4790327
       3890.5131       1.4874940
       3891.4091       1.4822312
       3892.3052       1.4215312
       3893.2015       1.3355924
       3894.0981       1.4124302
       3894.9948       1.5428179
       3895.8918       1.5622426
       3896.7890       1.5618236
       3897.6863       1.6409602
       3898.5839       1.6725877
       3899.4817       1.7175864
       3900.3797       1.7704965
       3901.2779       1.7239358
       3902.1763       1.8356052
       3903.0749       1.8413731
       3903.9737       1.8072661
